item_id,city,quality,sell_price_min,sell_price_min_date,sell_price_max,sell_price_max_date,buy_price_min,buy_price_min_date,buy_price_max,buy_price_max_date
T2_METALBAR,Bridgewatch,1,11,2023-01-08T22:30:00,26,2023-01-08T22:30:00,1,2023-01-08T22:00:00,10,2023-01-08T22:00:00
T2_METALBAR,Fort Sterling,1,13,2023-01-08T23:10:00,20,2023-01-08T23:10:00,3,2023-01-08T23:10:00,9,2023-01-08T23:10:00
T2_METALBAR,Lymhurst,1,11,2023-01-08T20:35:00,11,2023-01-08T20:35:00,1,2023-01-08T01:50:00,8,2023-01-08T01:50:00
T2_METALBAR,Martlock,1,11,2023-01-08T07:40:00,11,2023-01-08T07:40:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T2_METALBAR,Thetford,1,15,2023-01-08T16:40:00,18,2023-01-08T16:40:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T2_ORE,Bridgewatch,1,21,2023-01-08T22:30:00,25,2023-01-08T22:30:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T2_ORE,Fort Sterling,1,34,2023-01-08T13:20:00,53,2023-01-08T13:20:00,10,2023-01-08T13:20:00,30,2023-01-08T13:20:00
T2_ORE,Lymhurst,1,22,2023-01-08T19:25:00,1000,2023-01-08T19:25:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T2_ORE,Martlock,1,27,2023-01-08T16:45:00,28,2023-01-08T16:45:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T2_ORE,Thetford,1,35,2023-01-08T19:10:00,40,2023-01-08T19:10:00,1,2023-01-08T13:00:00,23,2023-01-08T13:00:00
T3_METALBAR,Bridgewatch,1,100,2023-01-08T23:05:00,118,2023-01-08T23:05:00,1,2023-01-08T09:55:00,70,2023-01-08T09:55:00
T3_METALBAR,Fort Sterling,1,84,2023-01-08T23:10:00,84,2023-01-08T23:10:00,1,2023-01-08T23:10:00,70,2023-01-08T23:10:00
T3_METALBAR,Lymhurst,1,89,2023-01-08T23:00:00,100,2023-01-08T23:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T3_METALBAR,Martlock,1,83,2023-01-08T21:35:00,88,2023-01-08T21:35:00,1,2023-01-08T14:20:00,1,2023-01-08T14:20:00
T3_METALBAR,Thetford,1,76,2023-01-08T22:35:00,80,2023-01-08T22:35:00,1,2023-01-08T22:35:00,75,2023-01-08T22:35:00
T3_ORE,Bridgewatch,1,37,2023-01-08T23:05:00,39,2023-01-08T23:05:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T3_ORE,Fort Sterling,1,37,2023-01-08T23:00:00,42,2023-01-08T23:00:00,24,2023-01-08T18:00:00,38,2023-01-08T18:00:00
T3_ORE,Lymhurst,1,41,2023-01-08T23:05:00,50,2023-01-08T23:05:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T3_ORE,Martlock,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,1,2023-01-08T01:25:00,39,2023-01-08T01:25:00
T3_ORE,Thetford,1,45,2023-01-08T20:30:00,50,2023-01-08T20:30:00,1,2023-01-08T20:30:00,42,2023-01-08T20:30:00
T4_METALBAR,Bridgewatch,1,171,2023-01-08T23:05:00,176,2023-01-08T23:05:00,1,2023-01-08T06:55:00,169,2023-01-08T06:55:00
T4_METALBAR,Fort Sterling,1,151,2023-01-08T23:05:00,166,2023-01-08T23:05:00,1,2023-01-08T17:55:00,155,2023-01-08T17:55:00
T4_METALBAR,Lymhurst,1,173,2023-01-08T23:00:00,179,2023-01-08T23:00:00,165,2023-01-08T18:30:00,169,2023-01-08T18:30:00
T4_METALBAR,Martlock,1,165,2023-01-08T17:35:00,180,2023-01-08T17:35:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_METALBAR,Thetford,1,158,2023-01-08T22:35:00,171,2023-01-08T22:35:00,2,2023-01-08T22:35:00,140,2023-01-08T22:35:00
T4_METALBAR_LEVEL1@1,Bridgewatch,1,381,2023-01-08T22:35:00,420,2023-01-08T22:35:00,41,2023-01-08T20:20:00,350,2023-01-08T20:20:00
T4_METALBAR_LEVEL1@1,Fort Sterling,1,367,2023-01-08T22:40:00,384,2023-01-08T22:40:00,2,2023-01-08T22:40:00,336,2023-01-08T22:40:00
T4_METALBAR_LEVEL1@1,Lymhurst,1,337,2023-01-08T18:25:00,337,2023-01-08T18:25:00,301,2023-01-08T18:30:00,301,2023-01-08T18:30:00
T4_METALBAR_LEVEL1@1,Martlock,1,407,2023-01-08T22:50:00,407,2023-01-08T22:50:00,27,2023-01-08T17:40:00,381,2023-01-08T17:40:00
T4_METALBAR_LEVEL1@1,Thetford,1,417,2023-01-08T22:30:00,1999,2023-01-08T22:30:00,20,2023-01-08T20:25:00,341,2023-01-08T20:25:00
T4_METALBAR_LEVEL2@2,Bridgewatch,1,1099,2023-01-08T13:30:00,1156,2023-01-08T13:30:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_METALBAR_LEVEL2@2,Fort Sterling,1,1011,2023-01-08T17:50:00,1070,2023-01-08T17:50:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_METALBAR_LEVEL2@2,Lymhurst,1,1129,2023-01-08T18:25:00,1205,2023-01-08T18:25:00,1,2023-01-08T18:25:00,1009,2023-01-08T18:25:00
T4_METALBAR_LEVEL2@2,Martlock,1,1095,2023-01-08T21:15:00,1156,2023-01-08T21:15:00,21,2023-01-08T10:45:00,1060,2023-01-08T10:45:00
T4_METALBAR_LEVEL2@2,Thetford,1,854,2023-01-08T19:10:00,1049,2023-01-08T19:10:00,44,2023-01-08T13:20:00,761,2023-01-08T13:20:00
T4_METALBAR_LEVEL3@3,Bridgewatch,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_METALBAR_LEVEL3@3,Fort Sterling,1,5844,2023-01-08T17:50:00,6381,2023-01-08T17:50:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_METALBAR_LEVEL3@3,Lymhurst,1,6050,2023-01-08T18:20:00,8426,2023-01-08T18:20:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_METALBAR_LEVEL3@3,Martlock,1,5566,2023-01-08T17:35:00,5921,2023-01-08T17:35:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_METALBAR_LEVEL3@3,Thetford,1,5886,2023-01-08T19:10:00,6499,2023-01-08T19:10:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_METALBAR_LEVEL4@4,Bridgewatch,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_METALBAR_LEVEL4@4,Fort Sterling,1,31886,2023-01-08T17:50:00,75000,2023-01-08T17:50:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_METALBAR_LEVEL4@4,Lymhurst,1,32997,2023-01-08T18:20:00,57994,2023-01-08T18:20:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_METALBAR_LEVEL4@4,Martlock,1,33000,2023-01-08T17:35:00,66984,2023-01-08T17:35:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_METALBAR_LEVEL4@4,Thetford,1,30486,2023-01-08T19:10:00,45000,2023-01-08T19:10:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_ORE,Bridgewatch,1,71,2023-01-08T23:00:00,76,2023-01-08T23:00:00,69,2023-01-08T09:45:00,69,2023-01-08T09:45:00
T4_ORE,Fort Sterling,1,80,2023-01-08T17:55:00,90,2023-01-08T17:55:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_ORE,Lymhurst,1,73,2023-01-08T19:25:00,19899,2023-01-08T19:25:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_ORE,Martlock,1,73,2023-01-08T16:45:00,77,2023-01-08T16:45:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_ORE,Thetford,1,85,2023-01-08T20:30:00,97,2023-01-08T20:30:00,1,2023-01-08T20:30:00,84,2023-01-08T20:30:00
T4_ORE_LEVEL1@1,Bridgewatch,1,214,2023-01-08T22:35:00,405,2023-01-08T22:35:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_ORE_LEVEL1@1,Fort Sterling,1,233,2023-01-08T22:20:00,236,2023-01-08T22:20:00,21,2023-01-08T22:20:00,232,2023-01-08T22:20:00
T4_ORE_LEVEL1@1,Lymhurst,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_ORE_LEVEL1@1,Martlock,1,225,2023-01-08T16:55:00,225,2023-01-08T16:55:00,31,2023-01-08T16:55:00,224,2023-01-08T16:55:00
T4_ORE_LEVEL1@1,Thetford,1,236,2023-01-08T22:30:00,260,2023-01-08T22:30:00,125,2023-01-08T20:30:00,238,2023-01-08T20:30:00
T4_ORE_LEVEL2@2,Bridgewatch,1,704,2023-01-08T12:55:00,760,2023-01-08T12:55:00,41,2023-01-08T02:20:00,693,2023-01-08T02:20:00
T4_ORE_LEVEL2@2,Fort Sterling,1,778,2023-01-08T17:55:00,778,2023-01-08T17:55:00,10,2023-01-08T17:55:00,729,2023-01-08T17:55:00
T4_ORE_LEVEL2@2,Lymhurst,1,745,2023-01-08T21:35:00,745,2023-01-08T21:35:00,4,2023-01-08T18:30:00,740,2023-01-08T18:30:00
T4_ORE_LEVEL2@2,Martlock,1,749,2023-01-08T16:55:00,749,2023-01-08T16:55:00,25,2023-01-08T16:50:00,728,2023-01-08T16:50:00
T4_ORE_LEVEL2@2,Thetford,1,762,2023-01-08T20:25:00,788,2023-01-08T20:25:00,10,2023-01-08T20:25:00,761,2023-01-08T20:25:00
T4_ORE_LEVEL3@3,Bridgewatch,1,4575,2023-01-08T12:55:00,4677,2023-01-08T12:55:00,86,2023-01-08T06:30:00,4261,2023-01-08T06:30:00
T4_ORE_LEVEL3@3,Fort Sterling,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_ORE_LEVEL3@3,Lymhurst,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_ORE_LEVEL3@3,Martlock,1,4645,2023-01-08T19:10:00,4800,2023-01-08T19:10:00,133,2023-01-08T17:00:00,4416,2023-01-08T17:00:00
T4_ORE_LEVEL3@3,Thetford,1,4880,2023-01-08T19:10:00,5300,2023-01-08T19:10:00,73,2023-01-08T15:35:00,4861,2023-01-08T15:35:00
T4_ORE_LEVEL4@4,Bridgewatch,1,24499,2023-01-08T18:50:00,26498,2023-01-08T18:50:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_ORE_LEVEL4@4,Fort Sterling,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_ORE_LEVEL4@4,Lymhurst,1,23994,2023-01-08T14:15:00,25000,2023-01-08T14:15:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_ORE_LEVEL4@4,Martlock,1,23000,2023-01-08T14:15:00,29999,2023-01-08T14:15:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T4_ORE_LEVEL4@4,Thetford,1,39998,2023-01-08T19:10:00,60000,2023-01-08T19:10:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_METALBAR,Bridgewatch,1,629,2023-01-08T07:10:00,659,2023-01-08T07:10:00,1,2023-01-08T06:55:00,620,2023-01-08T06:55:00
T5_METALBAR,Fort Sterling,1,610,2023-01-08T20:00:00,654,2023-01-08T20:00:00,1,2023-01-08T20:00:00,593,2023-01-08T20:00:00
T5_METALBAR,Lymhurst,1,743,2023-01-08T19:25:00,958,2023-01-08T19:25:00,1,2023-01-08T01:00:00,590,2023-01-08T01:00:00
T5_METALBAR,Martlock,1,628,2023-01-08T22:10:00,659,2023-01-08T22:10:00,64,2023-01-08T22:05:00,599,2023-01-08T22:05:00
T5_METALBAR,Thetford,1,603,2023-01-08T22:35:00,614,2023-01-08T22:35:00,10,2023-01-08T20:30:00,580,2023-01-08T20:30:00
T5_METALBAR_LEVEL1@1,Bridgewatch,1,1559,2023-01-08T20:20:00,1675,2023-01-08T20:20:00,41,2023-01-08T20:20:00,1384,2023-01-08T20:20:00
T5_METALBAR_LEVEL1@1,Fort Sterling,1,1367,2023-01-08T22:45:00,1491,2023-01-08T22:45:00,530,2023-01-08T20:45:00,1124,2023-01-08T20:45:00
T5_METALBAR_LEVEL1@1,Lymhurst,1,1467,2023-01-08T18:20:00,1526,2023-01-08T18:20:00,1,2023-01-08T02:45:00,1318,2023-01-08T02:45:00
T5_METALBAR_LEVEL1@1,Martlock,1,1431,2023-01-08T02:50:00,1549,2023-01-08T02:50:00,22,2023-01-08T02:50:00,1310,2023-01-08T02:50:00
T5_METALBAR_LEVEL1@1,Thetford,1,1448,2023-01-08T20:25:00,1580,2023-01-08T20:25:00,151,2023-01-08T20:25:00,1305,2023-01-08T20:25:00
T5_METALBAR_LEVEL2@2,Bridgewatch,1,5379,2023-01-08T20:20:00,6100,2023-01-08T20:20:00,73,2023-01-08T20:20:00,4915,2023-01-08T20:20:00
T5_METALBAR_LEVEL2@2,Fort Sterling,1,5099,2023-01-08T20:45:00,5168,2023-01-08T20:45:00,1,2023-01-08T20:45:00,4803,2023-01-08T20:45:00
T5_METALBAR_LEVEL2@2,Lymhurst,1,5486,2023-01-08T18:20:00,60000,2023-01-08T18:20:00,5,2023-01-08T02:45:00,5004,2023-01-08T02:45:00
T5_METALBAR_LEVEL2@2,Martlock,1,5499,2023-01-08T07:35:00,5600,2023-01-08T07:35:00,83,2023-01-08T02:50:00,5000,2023-01-08T02:50:00
T5_METALBAR_LEVEL2@2,Thetford,1,5142,2023-01-08T20:25:00,5800,2023-01-08T20:25:00,537,2023-01-08T20:25:00,4657,2023-01-08T20:25:00
T5_METALBAR_LEVEL3@3,Bridgewatch,1,21796,2023-01-08T12:45:00,21796,2023-01-08T12:45:00,1,2023-01-08T12:35:00,19903,2023-01-08T12:35:00
T5_METALBAR_LEVEL3@3,Fort Sterling,1,20993,2023-01-08T17:50:00,21800,2023-01-08T17:50:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_METALBAR_LEVEL3@3,Lymhurst,1,21389,2023-01-08T18:20:00,22710,2023-01-08T18:20:00,5,2023-01-08T17:45:00,19602,2023-01-08T17:45:00
T5_METALBAR_LEVEL3@3,Martlock,1,20872,2023-01-08T16:45:00,208750,2023-01-08T16:45:00,261,2023-01-08T09:10:00,19600,2023-01-08T09:10:00
T5_METALBAR_LEVEL3@3,Thetford,1,20999,2023-01-08T22:50:00,22000,2023-01-08T22:50:00,529,2023-01-08T22:50:00,19913,2023-01-08T22:50:00
T5_METALBAR_LEVEL4@4,Bridgewatch,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_METALBAR_LEVEL4@4,Fort Sterling,1,99482,2023-01-08T17:50:00,159500,2023-01-08T17:50:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_METALBAR_LEVEL4@4,Lymhurst,1,122897,2023-01-08T18:20:00,154979,2023-01-08T18:20:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_METALBAR_LEVEL4@4,Martlock,1,89997,2023-01-08T07:35:00,166655,2023-01-08T07:35:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_METALBAR_LEVEL4@4,Thetford,1,94394,2023-01-08T19:10:00,166666,2023-01-08T19:10:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_ORE,Bridgewatch,1,184,2023-01-08T12:50:00,228,2023-01-08T12:50:00,1,2023-01-08T00:45:00,227,2023-01-08T00:45:00
T5_ORE,Fort Sterling,1,268,2023-01-08T22:45:00,285,2023-01-08T22:45:00,215,2023-01-08T22:45:00,267,2023-01-08T22:45:00
T5_ORE,Lymhurst,1,234,2023-01-08T22:55:00,251,2023-01-08T22:55:00,1,2023-01-08T19:45:00,202,2023-01-08T19:45:00
T5_ORE,Martlock,1,236,2023-01-08T16:45:00,251,2023-01-08T16:45:00,1,2023-01-08T16:45:00,235,2023-01-08T16:45:00
T5_ORE,Thetford,1,280,2023-01-08T20:30:00,324,2023-01-08T20:30:00,1,2023-01-08T20:30:00,268,2023-01-08T20:30:00
T5_ORE_LEVEL1@1,Bridgewatch,1,562,2023-01-08T06:55:00,562,2023-01-08T06:55:00,33,2023-01-08T06:30:00,556,2023-01-08T06:30:00
T5_ORE_LEVEL1@1,Fort Sterling,1,585,2023-01-08T18:10:00,602,2023-01-08T18:10:00,20,2023-01-08T18:10:00,584,2023-01-08T18:10:00
T5_ORE_LEVEL1@1,Lymhurst,1,575,2023-01-08T19:45:00,581,2023-01-08T19:45:00,4,2023-01-08T20:30:00,573,2023-01-08T20:30:00
T5_ORE_LEVEL1@1,Martlock,1,549,2023-01-08T17:00:00,575,2023-01-08T17:00:00,10,2023-01-08T17:00:00,548,2023-01-08T17:00:00
T5_ORE_LEVEL1@1,Thetford,1,552,2023-01-08T19:10:00,573,2023-01-08T19:10:00,423,2023-01-08T17:30:00,547,2023-01-08T17:30:00
T5_ORE_LEVEL2@2,Bridgewatch,1,2602,2023-01-08T19:35:00,3350,2023-01-08T19:35:00,56,2023-01-08T19:35:00,2400,2023-01-08T19:35:00
T5_ORE_LEVEL2@2,Fort Sterling,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_ORE_LEVEL2@2,Lymhurst,1,2962,2023-01-08T19:50:00,3378,2023-01-08T19:50:00,4,2023-01-08T19:45:00,2403,2023-01-08T19:45:00
T5_ORE_LEVEL2@2,Martlock,1,2700,2023-01-08T16:45:00,2769,2023-01-08T16:45:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_ORE_LEVEL2@2,Thetford,1,2997,2023-01-08T20:25:00,7884,2023-01-08T20:25:00,1,2023-01-08T20:25:00,2403,2023-01-08T20:25:00
T5_ORE_LEVEL3@3,Bridgewatch,1,8899,2023-01-08T06:55:00,8899,2023-01-08T06:55:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_ORE_LEVEL3@3,Fort Sterling,1,9699,2023-01-08T09:45:00,9788,2023-01-08T09:45:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_ORE_LEVEL3@3,Lymhurst,1,9184,2023-01-08T18:05:00,15000,2023-01-08T18:05:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_ORE_LEVEL3@3,Martlock,1,9800,2023-01-08T16:55:00,10683,2023-01-08T16:55:00,167,2023-01-08T16:55:00,9050,2023-01-08T16:55:00
T5_ORE_LEVEL3@3,Thetford,1,9095,2023-01-08T20:25:00,13496,2023-01-08T20:25:00,159,2023-01-08T20:25:00,8806,2023-01-08T20:25:00
T5_ORE_LEVEL4@4,Bridgewatch,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_ORE_LEVEL4@4,Fort Sterling,1,37000,2023-01-08T14:05:00,61985,2023-01-08T14:05:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_ORE_LEVEL4@4,Lymhurst,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_ORE_LEVEL4@4,Martlock,1,38998,2023-01-08T22:50:00,38998,2023-01-08T22:50:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T5_ORE_LEVEL4@4,Thetford,1,49326,2023-01-08T19:10:00,73000,2023-01-08T19:10:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR,Bridgewatch,1,2460,2023-01-08T12:35:00,2790,2023-01-08T12:35:00,1,2023-01-08T06:55:00,2203,2023-01-08T06:55:00
T6_METALBAR,Fort Sterling,1,2286,2023-01-08T19:55:00,2389,2023-01-08T19:55:00,1,2023-01-08T19:55:00,2257,2023-01-08T19:55:00
T6_METALBAR,Lymhurst,1,2270,2023-01-08T19:25:00,2996,2023-01-08T19:25:00,1,2023-01-08T01:05:00,2123,2023-01-08T01:05:00
T6_METALBAR,Martlock,1,2431,2023-01-08T22:45:00,2467,2023-01-08T22:45:00,120,2023-01-08T22:45:00,2102,2023-01-08T22:45:00
T6_METALBAR,Thetford,1,2413,2023-01-08T22:10:00,2498,2023-01-08T22:10:00,10,2023-01-08T22:10:00,2290,2023-01-08T22:10:00
T6_METALBAR_LEVEL1@1,Bridgewatch,1,5886,2023-01-08T12:35:00,5983,2023-01-08T12:35:00,140,2023-01-08T03:30:00,5610,2023-01-08T03:30:00
T6_METALBAR_LEVEL1@1,Fort Sterling,1,5798,2023-01-08T22:45:00,5798,2023-01-08T22:45:00,3000,2023-01-08T22:40:00,5352,2023-01-08T22:40:00
T6_METALBAR_LEVEL1@1,Lymhurst,1,6144,2023-01-08T18:20:00,9945,2023-01-08T18:20:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL1@1,Martlock,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL1@1,Thetford,1,5689,2023-01-08T20:30:00,5998,2023-01-08T20:30:00,142,2023-01-08T20:30:00,5335,2023-01-08T20:30:00
T6_METALBAR_LEVEL2@2,Bridgewatch,1,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL2@2,Fort Sterling,1,21491,2023-01-08T17:50:00,25000,2023-01-08T17:50:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL2@2,Lymhurst,1,21096,2023-01-08T18:20:00,25000,2023-01-08T18:20:00,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00
T6_METALBAR_LEVEL2@2,Martlock,1,21490,2023-01-08T09:10:00,22000,2023-01-08T09:10:00,333,2023-01-08T09:10:00,19070,2023-01-08T09:10:00
T6_METALBAR_LEVEL2@2,Thetford,1,19987,2023-01-08T19:10:00,21000,2023-01-08T19:10:00,10,2023-01-08T12:35:00,18403,2023-01-08T12:35:00
